date;budgetYear;description;amountUSD;srcOrganization;srcOrganizationTypes;srcLocations;srcUsageYearStart;srcUsageYearEnd;destPlan;destPlanCode;destPlanId;destOrganization;destOrganizationTypes;destGlobalClusters;destLocations;destProject;destProjectCode;destEmergency;destUsageYearStart;destUsageYearEnd;contributionType;flowType;method;boundary;onBoundary;status;firstReportedDate;decisionDate;keywords;originalAmount;originalCurrency;exchangeRate;id;refCode;createdAt;updatedAt;;
#date;#date+year+budget;#description+notes;#value+funding+total+usd;#org+name+funder;#org+type+funder+list;#country+iso3+funder+list;#date+year+start+funder;#date+year+end+funder;#activity+appeal+name;#activity+appeal+id+external;#activity+appeal+id+fts_internal;#org+name+impl;#org+type+impl+list;#sector+cluster+name+list;#country+iso3+impl+list;#activity+project+name;#activity+project+code;#crisis+name;#date+year+start+impl;#date+year+end+impl;#financial+contribution+type;#financial+contribution+type;#financial+method;#financial+direction;#financial+direction+type;#status+text;#date+reported;#date+decision;#description+keywords;#value+funding+total;#value+funding+total+currency;#financial+fx;#activity+id+fts_internal;#activity+code;#date+created;#date+updated;;
15/03/2024;2024;Luxembourg Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;273523;Luxembourg, Government of;Governments;LUX;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;27/03/2024;25/03/2024;;250000;EUR;0.914;304211;OCT/LUX/2024/76185/OCHA(CBPF-OCHA)/SDN/82752 n/a;05/04/2024;09/05/2024;;
14/03/2024;2024;Food Security and the Nutrition Status of Vulnerable Communities in Sudan Through WFP Sudan General Food Distributions and Emergency Nutrition Operations;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;World Food Programme;Multilateral Organizations;Food Security,Nutrition;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;12/03/2024;11/03/2024;Rapid response;;;;302686;24-RR-WFP-008;14/03/2024;08/04/2024;;
14/03/2024;;Food Security and the Nutrition Status of Vulnerable Communities in Sudan Through WFP Sudan General Food Distributions and Emergency Nutrition Operations;4499999;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;World Food Programme;Multilateral Organizations;Food Security;SDN;FOOD CRISIS RESPONSE FOR PEOPLE AFFECTED BY CONFLICT IN SUDAN;HSDN24-FSC-209219-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;12/03/2024;;Rapid response;;;;302687;24-RR-WFP-008;14/03/2024;18/03/2024;;
14/03/2024;;Food Security and the Nutrition Status of Vulnerable Communities in Sudan Through WFP Sudan General Food Distributions and Emergency Nutrition Operations;3000000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;World Food Programme;Multilateral Organizations;Nutrition;SDN;Nutrition Assistance for food-insecure populations in Sudan.;HSDN24-NUT-209582-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;12/03/2024;;Rapid response;;;;302688;24-RR-WFP-008;14/03/2024;18/03/2024;;
12/03/2024;2024;Support to humanitarian activities in Sudan;774931;Norway, Government of;Governments;NOR;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Norwegian Refugee Council;NGOs;Emergency Shelter and NFI;SDN;Conflict and displacement-affected communities receive Shelter and Settlements assistance enabling them to capitalize onset their resources and achieve higher self-reliance throughout ongoing conflict and recurring hazards.;HSDN24-SHL-209344-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;19/04/2024;12/03/2024;;8191800;NOK;10.571;306517;QZA-20/0048-45;23/04/2024;23/04/2024;;
07/03/2024;2024;OCHA unearmarked allocation 2024;1066500;Office for the Coordination of Humanitarian Affairs;Multilateral Organizations;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Office for the Coordination of Humanitarian Affairs;Multilateral Organizations;Coordination and support services;SDN;Strengthening Humanitarian Coordination and Common Services in Sudan;HSDN24-CSS-209392-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;08/03/2024;01/01/2024;allocation of unearmarked funds;;;;302537;25:2641:2024;08/03/2024;09/05/2024;;
04/03/2024;2024;Switzerland Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;1136364;Switzerland, Government of;Governments;CHE;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;05/03/2024;27/02/2024;;1000000;CHF;0.885;302468;OCT/CHE/2024/76139/OCHA(CBPF-OCHA)/SDN/82662 7F-09054.08 / 81080246;29/03/2024;09/05/2024;;
01/03/2024;2024;Sudan Food Security Crisis Response – Critical Nutrition assistance to children and families in Darfur and Kordofan states;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;United Nations Children's Fund;Multilateral Organizations;Food Security;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;29/02/2024;28/02/2024;Rapid response;;;;302306;24-RR-CEF-009;29/02/2024;08/04/2024;;
01/03/2024;;Sudan Food Security Crisis Response – Critical Nutrition assistance to children and families in Darfur and Kordofan states;7498359;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Children's Fund;Multilateral Organizations;Nutrition;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;29/02/2024;;Rapid response;;;;302307;SM240098;24-RR-CEF-009;07/04/2024;07/04/2024;
01/03/2024;2024;"Sudan: support the implementation of the Measles Rubella Catch-up Campaign	Health";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
